indicador,valor,unidad,periodo,detalle,fuente_url,fecha_acceso
envio_a_domicilio_ventas,39,% de las ventas,2018,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
facturacion_total,229760,millones de pesos corrientes,2018,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
ordenes_de_compra,79,millones,2018,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
participacion_facturacion_amba,37,% de la facturación,2018,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,54,% de las ventas,2018,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
ticket_promedio,2900,pesos corrientes,2018,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
unidades_vendidas,120,millones,2018,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
compradores_eligen_envio_domicilio,65,% de compradores,2019,Preferencia declarada por los compradores (fase demanda; respuesta múltiple),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
compradores_nuevos,828000,personas,2019,Personas que compraron online por primera vez en el año (2024: el informe dice 536.632 en una lámina y 536.642 en otra),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
compradores_totales,18773246,personas,2019,Compradores online acumulados; proyección sobre población conectada (INDEC),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
crecimiento_facturacion_interanual,76,%,2019,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
crecimiento_ordenes_interanual,12,%,2019,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
entregas_amba_en_24h,17,% de las entregas en AMBA,2019,"Ídem, entregadas en 24 hs (sin contar el mismo día)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_amba_en_el_dia,9,% de las entregas en AMBA,2019,Plazos de entrega por región (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_hasta_24h,22,% de las entregas,2019,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
entregas_interior_en_24h,8,% de las entregas en el interior,2019,"Ídem, en 24 hs",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_interior_en_el_dia,8,% de las entregas en el interior,2019,Plazos de entrega por región,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
envio_a_domicilio_ventas,39,% de las ventas,2019,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
facturacion_total,403278,millones de pesos corrientes,2019,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
inflacion_interanual_indec,53.8,%,2019,"Inflación anual según INDEC tal como la cita el informe de CACE (2023 no la cita; IPC 2023 = 211,4 % según INDEC)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
ordenes_de_compra,89,millones,2019,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
participacion_facturacion_amba,37,% de la facturación,2019,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,50,% de las ventas,2019,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
ticket_promedio,4500,pesos corrientes,2019,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
unidades_vendidas,146,millones,2019,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2019_anual_resumen.pdf,2026-09-09
compradores_eligen_envio_domicilio,80,% de compradores,2020,Preferencia declarada por los compradores (fase demanda; respuesta múltiple),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
compradores_nuevos,1284960,personas,2020,Personas que compraron online por primera vez en el año (2024: el informe dice 536.632 en una lámina y 536.642 en otra),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
compradores_totales,20058206,personas,2020,Compradores online acumulados; proyección sobre población conectada (INDEC),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
crecimiento_facturacion_interanual,124,%,2020,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
crecimiento_ordenes_interanual,84,%,2020,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
entregas_amba_en_24h,12,% de las entregas en AMBA,2020,"Ídem, entregadas en 24 hs (sin contar el mismo día)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_amba_en_el_dia,18,% de las entregas en AMBA,2020,Plazos de entrega por región (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_hasta_24h,24,% de las entregas,2020,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_interior_en_24h,6,% de las entregas en el interior,2020,"Ídem, en 24 hs",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_interior_en_el_dia,10,% de las entregas en el interior,2020,Plazos de entrega por región,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
envio_a_domicilio_ventas,56,% de las ventas,2020,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
facturacion_total,905143,millones de pesos corrientes,2020,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
frecuencia_compra_mensual_o_mas,60,% de encuestados,2020,Compran online al menos una vez al mes (fase demanda),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
inflacion_interanual_indec,36.1,%,2020,"Inflación anual según INDEC tal como la cita el informe de CACE (2023 no la cita; IPC 2023 = 211,4 % según INDEC)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
ordenes_de_compra,164,millones,2020,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
participacion_facturacion_amba,38,% de la facturación,2020,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,35,% de las ventas,2020,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
ticket_promedio,5519,pesos corrientes,2020,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
unidades_vendidas,251,millones,2020,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
compradores_eligen_envio_domicilio,76,% de compradores,2021,Preferencia declarada por los compradores (fase demanda; respuesta múltiple),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
compradores_nuevos,684459,personas,2021,Personas que compraron online por primera vez en el año (2024: el informe dice 536.632 en una lámina y 536.642 en otra),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
compradores_totales,20742665,personas,2021,Compradores online acumulados; proyección sobre población conectada (INDEC),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
crecimiento_facturacion_interanual,68,%,2021,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
crecimiento_ordenes_interanual,20,%,2021,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_amba_en_24h,14,% de las entregas en AMBA,2021,"Ídem, entregadas en 24 hs (sin contar el mismo día)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_amba_en_el_dia,23,% de las entregas en AMBA,2021,Plazos de entrega por región (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_hasta_24h,28,% de las entregas,2021,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
entregas_interior_en_24h,8,% de las entregas en el interior,2021,"Ídem, en 24 hs",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
entregas_interior_en_el_dia,9,% de las entregas en el interior,2021,Plazos de entrega por región,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
envio_a_domicilio_ventas,55,% de las ventas,2021,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
facturacion_total,1520640,millones de pesos corrientes,2021,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
inflacion_interanual_indec,50.9,%,2021,"Inflación anual según INDEC tal como la cita el informe de CACE (2023 no la cita; IPC 2023 = 211,4 % según INDEC)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
ordenes_de_compra,196,millones,2021,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
participacion_facturacion_amba,39,% de la facturación,2021,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,37,% de las ventas,2021,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
ticket_promedio,7757,pesos corrientes,2021,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
unidades_vendidas,381,millones,2021,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2021_anual_resumen.pdf,2026-09-09
compradores_eligen_envio_domicilio,73,% de compradores,2022,Preferencia declarada por los compradores (fase demanda; respuesta múltiple),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
compradores_nuevos,1085540,personas,2022,Personas que compraron online por primera vez en el año (2024: el informe dice 536.632 en una lámina y 536.642 en otra),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
compradores_totales,21828205,personas,2022,Compradores online acumulados; proyección sobre población conectada (INDEC),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
crecimiento_facturacion_interanual,87,%,2022,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
crecimiento_ordenes_interanual,8,%,2022,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
entregas_amba_en_24h,14,% de las entregas en AMBA,2022,"Ídem, entregadas en 24 hs (sin contar el mismo día)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
entregas_amba_en_el_dia,20,% de las entregas en AMBA,2022,Plazos de entrega por región (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
entregas_hasta_24h,27,% de las entregas,2022,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
entregas_interior_en_24h,10,% de las entregas en el interior,2022,"Ídem, en 24 hs",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
entregas_interior_en_el_dia,10,% de las entregas en el interior,2022,Plazos de entrega por región,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
envio_a_domicilio_ventas,53,% de las ventas,2022,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
facturacion_total,2846154,millones de pesos corrientes,2022,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
inflacion_interanual_indec,94.8,%,2022,"Inflación anual según INDEC tal como la cita el informe de CACE (2023 no la cita; IPC 2023 = 211,4 % según INDEC)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
ordenes_de_compra,211,millones,2022,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
participacion_facturacion_amba,38,% de la facturación,2022,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,35,% de las ventas,2022,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
ticket_promedio,13488,pesos corrientes,2022,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
unidades_vendidas,422,millones,2022,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/Estudio_Anual_2022_CACE_resumen.pdf,2026-09-09
compradores_eligen_envio_domicilio,72,% de compradores,2023,Preferencia declarada por los compradores (fase demanda; respuesta múltiple),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
compradores_nuevos,1419784,personas,2023,Personas que compraron online por primera vez en el año (2024: el informe dice 536.632 en una lámina y 536.642 en otra),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
compradores_totales,23247989,personas,2023,Compradores online acumulados; proyección sobre población conectada (INDEC),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
crecimiento_facturacion_interanual,175,%,2023,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
crecimiento_ordenes_interanual,11,%,2023,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
entregas_amba_en_24h,16,% de las entregas en AMBA,2023,"Ídem, entregadas en 24 hs (sin contar el mismo día)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
entregas_amba_en_el_dia,22,% de las entregas en AMBA,2023,Plazos de entrega por región (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
entregas_hasta_24h,30,% de las entregas,2023,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
